Los Angeles Lakers
TRB
Wayne Ellington,,.333,.250,.000,.500,.500,,,,,,,.500
Julius Randle,,,,,,,,,,,,,
Wesley Johnson,.333,.000,.500,.667,.000,.500,.429,.200,.000,.000,.000,.000,.000
Xavier Henry,,,,,,,,,,,,,
Kobe Bryant,.000,.500,.200,.167,.429,.200,.300,.455,.000,.250,.429,.143,.250
Jeremy Lin,.000,.000,.500,.000,.500,.500,.500,.333,.333,,.500,1.000,.667
Ed Davis,,,,,,,,,,,,,
Chicago Bulls
TRB
E'Twaun Moore,0,,0,0,,,,,1,,0,0,4
Kirk Hinrich,1,2,2,3,0,3,1,1,1,2,2,3,
Derrick Rose,3,4,,,2,,,2,3,,,,
Joakim Noah,6,13,11,,,9,11,14,8,4,16,11,2
Jimmy Butler,,,4,9,6,7,5,4,9,6,6,8,4
Cameron Bairstow,0,,,,,,,,,,,0,1
Doug McDermott,5,0,1,1,2,1,3,0,1,1,2,1,7
Mike Dunleavy,3,9,1,3,2,3,4,4,5,6,7,2,3
Nikola Mirotic,7,0,8,6,3,1,0,0,2,0,7,5,11
Taj Gibson,8,3,,4,10,3,4,7,7,6,5,8,5
Nazr Mohammed,,,,,,,,,,,,0,6
Aaron Brooks,2,1,2,2,3,1,0,2,0,2,0,2,2
Tony Snell,1,1,3,3,0,0,1,,,1,,2,3
Pau Gasol,11,9,6,13,14,12,9,15,11,6,,,
AST
E'Twaun Moore,0,,0,0,,,,,0,,0,1,3
Kirk Hinrich,0,1,2,3,2,7,5,1,5,7,5,7,
Derrick Rose,5,4,,,7,,,7,4,,,,
Joakim Noah,2,4,3,,,2,6,6,6,6,6,6,1
Jimmy Butler,,,2,3,7,5,2,1,6,1,8,1,2
Cameron Bairstow,0,,,,,,,,,,,0,0
Doug McDermott,2,0,0,0,0,0,0,0,0,0,0,0,0
Mike Dunleavy,4,8,0,2,3,3,1,1,2,1,0,3,1
Nikola Mirotic,1,0,1,4,1,0,0,0,0,0,2,0,2
Taj Gibson,1,2,,1,2,3,1,1,1,0,6,1,1
Nazr Mohammed,,,,,,,,,,,,0,1
Aaron Brooks,6,2,5,8,1,4,8,1,0,1,1,4,3
Tony Snell,0,1,0,0,0,0,0,,,1,,0,0
Pau Gasol,0,3,2,2,1,1,3,4,2,1,,,
3P
E'Twaun Moore,0,,0,0,,,,,0,,0,0,1
Kirk Hinrich,3,3,0,1,2,1,0,0,0,1,4,1,
Derrick Rose,0,2,,,2,,,2,1,,,,
Joakim Noah,0,0,0,,,0,0,0,0,0,0,0,0
Jimmy Butler,,,1,0,0,1,1,4,1,1,1,0,0
Cameron Bairstow,0,,,,,,,,,,,0,0
Doug McDermott,2,0,0,1,0,2,0,0,0,1,0,0,0
Mike Dunleavy,0,4,3,1,1,5,3,0,2,0,4,2,0
Nikola Mirotic,1,0,2,2,0,0,0,0,0,0,1,1,4
Taj Gibson,0,0,,0,0,0,0,0,0,0,0,0,0
Nazr Mohammed,,,,,,,,,,,,0,0
Aaron Brooks,1,2,3,2,0,2,4,1,0,0,0,1,2
Tony Snell,0,2,0,0,0,1,0,,,1,,0,1
Pau Gasol,0,0,0,0,0,0,0,0,0,0,,,
MP
E'Twaun Moore,3:00,,0:18,0:27,,,,,0:06,,0:05,1:13,24:12
Kirk Hinrich,23:42,34:10,28:02,30:24,28:09,31:30,28:05,17:37,25:03,31:39,33:39,28:58,
Derrick Rose,21:21,25:18,,,31:12,,,32:06,29:51,,,,
Joakim Noah,19:51,37:20,31:55,,,30:37,31:26,31:33,32:37,31:57,36:22,37:24,21:36
Jimmy Butler,,,39:28,35:02,41:06,40:18,38:13,42:47,39:47,40:59,45:17,36:38,26:32
Cameron Bairstow,3:31,,,,,,,,,,,5:30,2:00
Doug McDermott,24:18,16:54,11:23,11:39,6:54,17:08,15:06,5:22,5:05,13:50,10:13,12:03,21:04
Mike Dunleavy,31:01,39:59,34:29,21:56,23:18,30:52,27:36,35:03,34:42,27:23,35:14,34:40,17:00
Nikola Mirotic,15:17,4:10,28:16,22:39,16:15,7:55,5:00,5:13,4:15,5:23,18:25,18:11,35:07
Taj Gibson,28:11,27:59,,32:22,43:33,23:05,28:20,23:56,24:07,24:52,41:13,33:42,17:06
Nazr Mohammed,,,,,,,,,,,,1:13,20:12
Aaron Brooks,23:39,19:43,22:48,29:51,13:21,16:33,28:11,11:05,9:26,17:51,19:32,24:36,24:11
Tony Snell,16:59,22:56,7:32,14:41,0:22,7:39,6:49,,,12:18,,5:52,31:00
Pau Gasol,29:10,36:31,35:49,40:59,35:50,34:23,31:14,35:18,35:01,33:48,,,
PTS
E'Twaun Moore,0,,0,0,,,,,0,,0,0,9
Kirk Hinrich,12,20,11,5,7,13,0,4,2,15,14,9,
Derrick Rose,13,20,,,13,,,24,20,,,,
Joakim Noah,3,8,8,,,5,13,13,6,7,11,10,7
Jimmy Butler,,,24,21,14,23,16,19,21,32,22,23,9
Cameron Bairstow,0,,,,,,,,,,,0,1
Doug McDermott,12,0,2,12,0,8,6,0,0,7,0,1,6
Mike Dunleavy,0,14,13,3,12,27,13,7,14,4,19,12,2
Nikola Mirotic,5,0,12,8,2,1,0,0,0,2,12,7,24
Taj Gibson,22,10,,16,23,11,8,8,10,2,20,12,7
Nazr Mohammed,,,,,,,,,,,,0,1
Aaron Brooks,13,11,16,13,2,10,26,10,0,6,7,12,12
Tony Snell,3,10,0,4,0,3,0,,,3,,2,9
Pau Gasol,21,15,20,16,22,17,19,17,27,12,,,
3P%
E'Twaun Moore,.000,,,,,,,,,,,,1.000
Kirk Hinrich,.429,.600,.000,.333,.333,.250,,.000,,.250,.667,.250,
Derrick Rose,.000,.333,,,.400,,,.400,.200,,,,
Joakim Noah,,,,,,,,,,,,,
Jimmy Butler,,,.333,.000,,.333,.333,.571,.333,.500,.250,.000,.000
Cameron Bairstow,,,,,,,,,,,,,
Doug McDermott,.400,.000,.000,.500,,.667,,.000,.000,1.000,.000,.000,.000
Mike Dunleavy,.000,.571,.429,.500,.250,.625,.429,.000,.400,.000,.571,.286,.000
Nikola Mirotic,.500,,.400,.500,,.000,,,,.000,.250,.333,.571
Taj Gibson,,,,,,,,,,,,,
Nazr Mohammed,,,,,,,,,,,,,
Aaron Brooks,1.000,.400,.750,1.000,.000,.500,.571,.500,.000,.000,.000,.500,.400
Tony Snell,.000,.400,,,,1.000,,,,.333,,.000,.500
Pau Gasol,,,,,,,.000,.000,,,,,
3P
